enabled,ability,description
0,TAUNT_TAUNT,
0,STOP_STOP,
0,STOP_HOLDFIRESPECIAL,
0,STOP_CHEER,
0,STOP_DANCE,
0,STOP_REDIRECT,
0,STOP_BUILDING,
0,STOP_BATTLECRUISER,
0,HOLDPOSITION_HOLD,
0,SCANNERSWEEP_SCAN,
0,SCAN_MOVE,
0,SMART,
0,MOVE_TURN,
0,PATROL,
0,HARVEST_RETURN_SCV,
0,RALLY_BUILDING,
0,RALLY_MORPHING_UNIT,
0,RALLY_COMMANDCENTER,
0,RALLY_NEXUS,
0,RALLY_HATCHERY_UNITS,
0,RALLY_HATCHERY_WORKERS,
0,RALLY_UNITS,
0,RALLY_WORKERS,
0,CANCEL_GRAVITONBEAM,
0,CANCEL_NEURALPARASITE,
0,CANCEL_QUEUE1,
0,CANCEL_QUEUE5,
0,CANCEL_QUEUECANCELTOSELECTION,
0,CANCEL_QUEUEADDON,
0,CANCEL_BUILDINPROGRESS,
0,CANCEL_BARRACKSADDON,
0,CANCEL_FACTORYADDON,
0,CANCEL_STARPORTADDON,
0,CANCEL_HANGARQUEUE5,
0,CANCEL_MORPHLAIR,
0,CANCEL_MORPHHIVE,
0,CANCEL_MORPHGREATERSPIRE,
0,CANCEL_MORPHBROODLORD,
0,CANCEL_MORPHOVERSEER,
0,CANCEL_MORPHPLANETARYFORTRESS,
0,CANCEL_MORPHORBITAL,
0,CANCEL_NUKE,
0,CANCEL_SPINECRAWLERROOT,
0,CANCEL_SPORECRAWLERROOT,
0,CANCEL_CREEPTUMOR,
0,CANCEL_QUEUEPASIVE,
0,CANCEL_QUEUEPASSIVECANCELTOSELECTION,
0,CANCEL_MORPHMOTHERSHIP,
0,CANCEL_MORPHRAVAGER,
0,CANCEL_MORPHLURKER,
0,CANCEL_LOCKON,
0,CANCEL_MORPHTHOREXPLOSIVEMODE,
0,CANCEL_STASISTRAP,
0,CANCEL_ADEPTPHASESHIFT,
0,CANCEL_ADEPTSHADEPHASESHIFT,
0,CANCEL_MORPHOVERLORDTRANSPORT,
0,CANCEL_LAST,
0,CANCEL_SLOT,
0,CANCEL_VOIDRAYPRISMATICALIGNMENT,
0,HALT_TERRANBUILD,
0,HALT_BUILDING,
0,BUILDINPROGRESSNYDUSCANAL_CANCEL,
0,PROTOSSBUILD_CANCEL,
0,BROODLORDQUEUE2_CANCEL,
0,BROODLORDQUEUE2_CANCELSLOT,
0,ZERGBUILD_CANCEL,
0,BURROWBANELINGDOWN_CANCEL,
0,BURROWDRONEDOWN_CANCEL,
0,BURROWHYDRALISKDOWN_CANCEL,
0,BURROWROACHDOWN_CANCEL,
0,BURROWZERGLINGDOWN_CANCEL,
0,MERGEABLE_CANCEL,
0,WARPABLE_CANCEL,
0,BURROWQUEENDOWN_CANCEL,
0,BURROWINFESTORDOWN_CANCEL,
0,UPGRADETOWARPGATE_CANCEL,
0,MORPHBACKTOGATEWAY_CANCEL,
0,FORCEFIELD_CANCEL,
0,PHASINGMODE_CANCEL,
0,TRANSPORTMODE_CANCEL,
0,QUEENBUILD_CANCEL,
0,SPINECRAWLERUPROOT_CANCEL,
